2019-02-15 11:27:58,551 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:28:00,469 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:28:00,476 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:28:00,480 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:28:00,481 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:28:07,652 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:28:07,656 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:28:07,657 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:28:07,657 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:29:23,258 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:29:23,260 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-02-15 11:29:23,266 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:29:23,268 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:29:39,375 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:29:39,379 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-02-15 11:29:39,381 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:29:39,382 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:29:55,723 [Worker-53] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/log4j/log4j/1.2.17/log4j-1.2.17-sources.jar
2019-02-15 11:29:56,594 [Worker-53] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/log4j/log4j/1.2.17/log4j-1.2.17-sources.jar
2019-02-15 11:29:56,678 [Worker-53] INFO  o.e.m.j.internal.DownloadSourcesJob - Downloaded sources for log4j:log4j:1.2.17
2019-02-15 11:29:56,821 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:29:56,822 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-15 11:29:56,823 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-15 11:29:56,824 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\logonrmlocal\Desktop\digital\DIGITALBUSINESSENABLEMENT-\03-Loja-App\src\test\resources
2019-02-15 11:32:29,283 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
